0,Other
1,int to ll
2,remove debug statement
3,local to global
4,long to ll
5,signed to unsigned
6,Added fast IO
7,scanf to cin
8,Decreased no. of typecasts to double
9,Map to unordered map
10,printf to cout
11,cin to getchar reading
12,cout to printf
13,invalid input
14,vector to list
15,remove unwanted headers
16,unordered map to map
17,Policy based data structures in g++
18,ll to int
19,float to long double
